w1,w2,res
แล้ว,ออ,แล้ว.เหรอ
กัน,น๊าา,กัน.นะ
ได้มา,กก,ได้.มาก
ทู้,กก,ทุก
โย่,วว,โย่ว
แน้,วว,แล้ว
ซิ,สส,ซิส
เน่,ออ,เน่อ
เท๊,ออ,เธอ
ก้อ,ดด,กอด
มึ๊,งง,มึง
โล,กก,โลก
วอ,ทท,ว๊อท
แล,กก,แลก
เฮ้อ,มม,เห้อม
เห,ลยย,เลย
หา,วว,หาว
วอ,ลลเล,วอลเล่
ฟิ,คค,ฟิค
อา,วว,เอา
เร๊,วว,เร็ว
เห,น่ยย,หน่อย
โบ้,มม,โบ้ม
วิ,วว,วิว
แล,งง,แรง
ไร,ว๊าา,ไร.วะ
แบ้,วว,แล้ว
เพล,งง,เพลง
โฮ,กก,โฮก
ม่า,งง,แม่ง
บา,งง,บาง
ฟอ,ลล่วย,ฟอล.ด้วย
เย,สส,เยส
หึ,ยย,หึย
โซ,ฮอลล์,โซฮอล
หร๊,ออ,เหรอ
นุ้,งง,น้อง
ติดตา,มมาก,ติดตาม.มาก
โม,งง,โมง
เหย,ออ,เหรอ
เก,มมาก,เกม.มาก
อิเว๊,งง,อีเวร
เอ,กก,เอก
ฟ๊า,คค,ฟัค
ชี,สส,ชีส
อ,รั๊ยย,อ๊าย
กริ๊,สส,กรี๊ด
บ,รรเทิง,บันเทิง
จอ,งง,จอง
สตรี,มมาก,สตรีม.มาก
หยัก,ดั้ยย,อยาก.ได้
ดู๊,วว,ดู
ฮึ,กก,ฮึก
ขา,วว,ขาว
แล้ว,โว๊ยย,แล้ว.โว้ย
เชีย,วว,เชียว
จา,วว,จะ.เอา
ฮี,ลลิ่ง,ฮีลลิ่ง
ไง,แม๊มม,ไง.แม่ง
อยาก,ดั๊ยย,อยาก.ได้
อ,รั้ยย,อ๊าย
อี,เชี่ยย,อี.เชี่ย
แพ,ดดี้,แพดดี้
ส,มูตตี้,สมูตตี้
ชมา,กก,มาก
นา,งง,นาง
ทำนาย,กัลล,ทำนาย.กัน
ถา,มมาก,ถาม.มาก
แด,กก,แดก
บรา,วว,บราว
อุ๋,งง,อุ๋ง
ค้า,งง,ค้าง
ขอ,งง,ของ
ฮ่อ,ลล,ฮือ
ยา,งง,ยัง
โถ่,วว,โถ่
ร๊,กก,ลูก
สิงโต,วว,สิงโต
เรี๊ย,กก,เรียก
กี๊,สส,กรี๊ด
ฮู้,ยย,หูว
หนู,วว,หนู
แร,งง,แรง
เคีย,สส,คิด
ลุ,กก,ลุก
แง่,งง,แง่ง
จุ,ยย,ใจ
ฮิ้,วว,ฮิ่ว
ได้,ยังงัย,ได้.ยังไง
กรู,วว,กู
แง๊,งง,แง
ดู,กัลล,ดูกัน
อะ,ไร๊๊,อะไร
หน่อย,ค๊าา,หน่อย.ค่ะ
สปา,เก็ตตี้,สปาเก็ตตี้
ไม่,ใชช่,ไม่.ใช่
แบ,คค,แบค
กา,มมาก,กาม.มาก
รถ,จยย,รถ.จยย
เด,มม,เดม
เด่,วว,เดี๋ยว
ฮ่า,วว,ฮ่าว
แฟน,กัลล,แฟนกัน
คุ,งง,คุง
เข้ามา,กก,เข้า.มาก
กู๊,วว,กู
จิ,งง,จริง
โต้,งง,โต้ง
จ้า,วว,จ้าว
ฮา,ยย,ฮาย
กา,ศศ,ประกาศ
ก่อ,งง,ก่อน
ละ,น๊าา,ละ.นะ
ไหม,น๊าา,ไหม.นะ
กิ้,วว,กิ้ว
นะ,จ๊าา,นะ.จ๊ะ
เร็ว,ป๊ายย,เร็ว.ไป
รา,ฟฟิค,กราฟฟิค
